pid         env      rec      smi      tor
t97         140       84       71        9
t98          40       15        9        5
t99          14       14       12        6
t100         14        7        5        6
t101          4        4        2        1
t102          6        6        6        6
t103          8        8        5        4
t104         47       23       20        5
t105        314      134      100       17
t106        129       67       54       17
t107         80       75       60       13
t108         77       75       48        6
t109         60       59       32        6
t110         50       49       40        8
t111        344      129       73       18
t112          8        4        4        1
t113g        12        6        3        3
t113h         6        2        2        2
t114        180       16       13        4
t115g       300      162      113        6
t115h        58       41       35        8
t115i         0        0        0        0
t116g        79       74       43        1
t116h       209       63       52        7
t116i         0        0        0        0
t116j         0        0        0        0
t117g       207      108       68       15
t117h         0        0        0        0
t117i         0        0        0        0
t117j         0        0        0        0
t117k         0        0        0        0
t117l         0        0        0        0
t118g      1487      142      104       11
t118h        61       10       10        1
t119g       204       45       34       11
t119h        25        5        5        2
t120g        55       31       23        6
t120h         4        3        3        0
t121g       432       76       56       11
t121h        96       27       20        2
t122g        10        5        5        5
t122h         8        4        4        4
t122i        20        5        4        3
t122j        28        7        7        7
t122k        42       21       16        5
t122l         4        2        2        1
t123ag      126       10       10        5
t123ah        0        0        0        0
t124g         0        0        0        0
t124h        54        7        7        7
t125          9        9        8        7
t126          3        3        3        1
t127g        26       26       21        5
t127h        70       32       27        5
t127i        15        5        4        0
t128         16        8        7        4
t129         48       47       14        8
t130g         0        0        0        0
t130h         2        1        1        0
t130i        41       15       15        8
t131g         0        0        0        0
t131h         0        0        0        0
t131i        23        6        2        1
t131j        44       25       19        6
t132g        27       10        6        1
t132h         3        1        1        0
t132i        44       25       19        7
t133g         9        1        1        1
t133h         0        0        0        0
t133i        23        6        6        6
t133j        13       10       10        3
t134g         6        1        1        1
t134h        38       10        9        4
t135         32        8        5        7
t136         56       14        7       10
t137         19       15        6        7
t138        248      109       82        8
t138a         0        0        0        0
t139         21       21       12        6
t140         93       93       45       13
t141         16        7        7        0
t141ag       56       12       11        1
t141ah        0        0        0        0
t141bg        2        1        1        0
t141bh        8        2        2        2
t141cg       53        8        8        0
t141ch        0        0        0        0
t141ci        0        0        0        0
t141cj       12        4        4        0
t142g        25       18        7        3
t142h        20        9        9        9
t142i        48       16       11        9
t142j         0        0        0        0
t142k         0        0        0        0
t143g        38       18       14        2
t143h       147       52       35        5
t143i         6        6        6        6
t143j        14        5        5        5
t143k         6        2        2        2
t144g         0        0        0        0
t144h        38       35       25        5
t144i         0        0        0        0
t144j         0        0        0        0
t145g         0        0        0        0
t145h        23       20       15        4
t145i         0        0        0        0
t145j         0        0        0        0
t146g         0        0        0        0
t146h        37       28       21        8
t146i         0        0        0        0
t146j         0        0        0        0
t147g         0        0        0        0
t147h        34       22       14       11
t147i         0        0        0        0
t147j         0        0        0        0
t148g         0        0        0        0
t148h       140       64       49        4
t148i         0        0        0        0
t148j         4        3        3        0
t149g         0        0        0        0
t149h       155       53       38        2
t149i         6        2        2        0
t149j         8        3        3        0
t150g        10        9        7        5
t150h         0        0        0        0
t151g        19       19       10        9
t151h         0        0        0        0
t152g        74       32       21        4
t152h         2        2        2        0
t153g        25       13        7        7
t153h         0        0        0        0
t154g        72       21       12        7
t154h         4        2        2        0
t155g         8        8        6        4
t155h         1        1        1        1
t156g        32       15       13        4
t156h         7        7        7        0
t157g        75       20       19       15
t157h        72       29       22       10
t158g         5        5        5        4
t158h         0        0        0        0
t158i         0        0        0        0
t158j         0        0        0        0
t159g         0        0        0        0
t159h       162       44       31        4
t160         84       34       25        7
t161g        10        5        3        0
t161h       129       24       11        6
t162g         3        3        1        1
t162h        63       24       11        7
t163g         0        0        0        0
t163h         2        2        2        2
t164         15        5        2        1
t165         17       17       13        0
t166        210       79       63        0
t167         41       28       26        0
